code,name,market,sector,benefit_status,record_months,source_hint,last_checked_at
1301,公式確認待ち銘柄（1301）,未確認,未確認,candidate,8,企業公式IRページを確認,
1302,公式確認待ち銘柄（1302）,未確認,未確認,candidate,9,企業公式IRページを確認,
1303,公式確認待ち銘柄（1303）,未確認,未確認,candidate,10,企業公式IRページを確認,
1304,公式確認待ち銘柄（1304）,未確認,未確認,candidate,8,企業公式IRページを確認,
1305,公式確認待ち銘柄（1305）,未確認,未確認,candidate,9,企業公式IRページを確認,
1306,公式確認待ち銘柄（1306）,未確認,未確認,candidate,10,企業公式IRページを確認,
1307,公式確認待ち銘柄（1307）,未確認,未確認,candidate,8,企業公式IRページを確認,
1308,公式確認待ち銘柄（1308）,未確認,未確認,candidate,9,企業公式IRページを確認,
1309,公式確認待ち銘柄（1309）,未確認,未確認,candidate,10,企業公式IRページを確認,
1310,公式確認待ち銘柄（1310）,未確認,未確認,candidate,8,企業公式IRページを確認,
1311,公式確認待ち銘柄（1311）,未確認,未確認,candidate,9,企業公式IRページを確認,
1312,公式確認待ち銘柄（1312）,未確認,未確認,candidate,10,企業公式IRページを確認,
1313,公式確認待ち銘柄（1313）,未確認,未確認,candidate,8,企業公式IRページを確認,
1314,公式確認待ち銘柄（1314）,未確認,未確認,candidate,9,企業公式IRページを確認,
1315,公式確認待ち銘柄（1315）,未確認,未確認,candidate,10,企業公式IRページを確認,
1316,公式確認待ち銘柄（1316）,未確認,未確認,candidate,8,企業公式IRページを確認,
1317,公式確認待ち銘柄（1317）,未確認,未確認,candidate,9,企業公式IRページを確認,
1318,公式確認待ち銘柄（1318）,未確認,未確認,candidate,10,企業公式IRページを確認,
1319,公式確認待ち銘柄（1319）,未確認,未確認,candidate,8,企業公式IRページを確認,
1320,公式確認待ち銘柄（1320）,未確認,未確認,candidate,9,企業公式IRページを確認,
1321,公式確認待ち銘柄（1321）,未確認,未確認,candidate,10,企業公式IRページを確認,
1322,公式確認待ち銘柄（1322）,未確認,未確認,candidate,8,企業公式IRページを確認,
1323,公式確認待ち銘柄（1323）,未確認,未確認,candidate,9,企業公式IRページを確認,
1324,公式確認待ち銘柄（1324）,未確認,未確認,candidate,10,企業公式IRページを確認,
1325,公式確認待ち銘柄（1325）,未確認,未確認,candidate,8,企業公式IRページを確認,
1326,公式確認待ち銘柄（1326）,未確認,未確認,candidate,9,企業公式IRページを確認,
1327,公式確認待ち銘柄（1327）,未確認,未確認,candidate,10,企業公式IRページを確認,
1328,公式確認待ち銘柄（1328）,未確認,未確認,candidate,8,企業公式IRページを確認,
1329,公式確認待ち銘柄（1329）,未確認,未確認,candidate,9,企業公式IRページを確認,
1330,公式確認待ち銘柄（1330）,未確認,未確認,candidate,10,企業公式IRページを確認,
1331,公式確認待ち銘柄（1331）,未確認,未確認,candidate,8,企業公式IRページを確認,
1332,公式確認待ち銘柄（1332）,未確認,未確認,candidate,9,企業公式IRページを確認,
1333,公式確認待ち銘柄（1333）,未確認,未確認,candidate,10,企業公式IRページを確認,
1334,公式確認待ち銘柄（1334）,未確認,未確認,candidate,8,企業公式IRページを確認,
1335,公式確認待ち銘柄（1335）,未確認,未確認,candidate,9,企業公式IRページを確認,
1336,公式確認待ち銘柄（1336）,未確認,未確認,candidate,10,企業公式IRページを確認,
1337,公式確認待ち銘柄（1337）,未確認,未確認,candidate,8,企業公式IRページを確認,
1338,公式確認待ち銘柄（1338）,未確認,未確認,candidate,9,企業公式IRページを確認,
1339,公式確認待ち銘柄（1339）,未確認,未確認,candidate,10,企業公式IRページを確認,
1340,公式確認待ち銘柄（1340）,未確認,未確認,candidate,8,企業公式IRページを確認,
1341,公式確認待ち銘柄（1341）,未確認,未確認,candidate,9,企業公式IRページを確認,
1342,公式確認待ち銘柄（1342）,未確認,未確認,candidate,10,企業公式IRページを確認,
1343,公式確認待ち銘柄（1343）,未確認,未確認,candidate,8,企業公式IRページを確認,
1344,公式確認待ち銘柄（1344）,未確認,未確認,candidate,9,企業公式IRページを確認,
