security_code,company_name,benefit_summary,required_shares,record_month,long_term_condition,official_url,status,source_checked_date
2229,カルビー,"1,500円相当の自社グループ製品",100,3,6か月以上継続保有（2026年3月末の初回基準日は保有期間不問）,https://www.calbee.co.jp/ir/stock/benefits/,confirmed,2026-07-30
7832,バンダイナムコホールディングス,"株主優待ポイント1,000ポイント",100,3,なし,https://www.bandainamco.co.jp/ir/stock/treatment.html,confirmed,2026-07-30
8012,長瀬産業,"1,500円相当の電子マネー",100,3,6か月以上継続保有,https://www.nagase.co.jp/ir/stock-information/treat/,confirmed,2026-07-30
9003,相鉄ホールディングス,電車全線の株主優待乗車証2枚,100,3,なし,https://www.sotetsu.co.jp/ir/stock/stockholder/?newwindow=true,confirmed,2026-07-30
6044,三機サービス,QUOカード500円分,100,5,なし（1年以上・3年以上で増額）,https://www.sanki-s.co.jp/ir/stock/benefits/,confirmed,2026-07-30
6586,マキタ,"QUOカード1,000円分",100,3,3年以上継続保有,https://www.makita.co.jp/ir/stock_bond/stock_bond_03.html,confirmed,2026-07-30
8008,ヨンドシーホールディングス,"2,000円分の株主優待券、500円分のQUOカード、1,000円分の寄付から1点選択",100,2,1年以上継続保有（2026年2月末基準のみ保有期間不問）,https://yondoshi.co.jp/ir/stock-information/shareholder-benefits/,confirmed,2026-07-30
7537,丸文,"株主優待ポイント1,000円相当",100,3,1年以上継続保有,https://www.marubun.co.jp/ir/individual/shareholderbenefits/,confirmed,2026-07-30
8059,第一実業,プレミアム優待倶楽部600ポイント,100,9,なし,https://www.djk.co.jp/ir/stock/dividend/,confirmed,2026-07-30
7481,尾家産業,スペシャルビーフカレー200g×3袋,100,3,なし,https://www.oie.co.jp/ir/stock_benefit.php,confirmed,2026-07-30
9405,朝日放送グループホールディングス,"年間1,000円分の番組特製QUOカード",100,3|9,なし,https://corp.asahi.co.jp/ja/ir/stock/shareholder-benefits/,confirmed,2026-07-30
6971,京セラ,"QUOカード1,000円分",100,3,1年以上継続保有,https://www.kyocera.co.jp/ir/s_info/benefit.html,confirmed,2026-07-30
9020,東日本旅客鉄道,株主優待割引券1枚,100,3,なし（2年以上継続保有で1枚追加）,https://www.jreast.co.jp/id/company/ir/information/guidance/,confirmed,2026-07-30
9008,京王電鉄,電車全線優待乗車券2枚,100,3|9,なし,https://www.keio.co.jp/company/stockholder/stock/benefit_plan/,confirmed,2026-07-30
9009,京成電鉄,電車の回数券式株主優待乗車証1枚,100,3|9,なし,https://www.keisei.co.jp/keisei/corporate/ir/stock/benefits/,confirmed,2026-07-30
9006,京浜急行電鉄,株主優待乗車証および京急グループ施設割引券,100,3|9,なし,https://www.keikyu.co.jp/ir/stock/stockpurchase.html,confirmed,2026-07-30
9843,ニトリホールディングス,10％割引の株主お買物優待券5枚,500,3,なし（1年以上継続保有で10枚）,https://www.nitorihd.co.jp/ir/shareholder/treatment.html,confirmed,2026-07-30
9468,KADOKAWA,デジタルギフトコード等と交換できる株主優待ポイント,100,3,1年以上継続保有,https://group.kadokawa.co.jp/ir/stock/benefit.html,confirmed,2026-07-30
